Size,Waist,Hips,Crop Inseam,Ankle Inseam,Inseam,Tall Inseam
0,61,89,57.2/67.3,71.1,78.7,83.8
2,64,91,57.2/67.3,71.1,78.7,83.8
4,66,94,57.2/67.3,71.1,78.7,83.8
6,69,97,57.2/67.3,71.1,78.7,83.8
8,71,99,57.2/67.3,71.1,78.7,83.8
10,75,103,57.2/67.3,71.1,78.7,83.8
12,77,107,57.2/67.3,71.1,78.7,83.8
14,81,110.5,57.2/67.3,71.1,78.7,83.8
XS,61,89,57.2/67.3,71.1,78.7,83.8
XS,64,91,57.2/67.3,71.1,78.7,83.8
S,66,94,57.2/67.3,71.1,78.7,83.8
S,69,97,57.2/67.3,71.1,78.7,83.8
M,71,99,57.2/67.3,71.1,78.7,83.8
M,75,103,57.2/67.3,71.1,78.7,83.8
L,77,107,57.2/67.3,71.1,78.7,83.8
XL,81,110.5,57.2/67.3,71.1,78.7,83.8
